Key,File,Type,UsedInMainMenu,NoTranslate,english
tableLampSonjaPurple,blocks,Light,,,"Table Lamp [e599e4](FHD)[-]"
tableLampSonjaGrey,blocks,Light,,,"Table Lamp [e599e4](FHD)[-]"
tableLampSonjaBlack,blocks,Light,,,"Table Lamp [e599e4](FHD)[-]"
tableLampSonjaPink,blocks,Light,,,"Table Lamp [e599e4](FHD)[-]"
tableLampSonjaWhiteOffset,blocks,Light,,,"Table Lamp OffSet [e599e4](FHD)[-]"
tableLampSonjaBrownOffset,blocks,Light,,,"Table Lamp OffSet [e599e4](FHD)[-]"
tableLampSonjaRedOffset,blocks,Light,,,"Table Lamp OffSet [e599e4](FHD)[-]"
tableLampSonjaOrangeOffset,blocks,Light,,,"Table Lamp OffSet [e599e4](FHD)[-]"
tableLampSonjaYellowOffset,blocks,Light,,,"Table Lamp OffSet [e599e4](FHD)[-]"
tableLampSonjaGreenOffset,blocks,Light,,,"Table Lamp OffSet [e599e4](FHD)[-]"
tableLampSonjaBlueOffset,blocks,Light,,,"Table Lamp OffSet [e599e4](FHD)[-]"
tableLampSonjaPurpleOffset,blocks,Light,,,"Table Lamp OffSet [e599e4](FHD)[-]"
tableLampSonjaGreyOffset,blocks,Light,,,"Table Lamp OffSet [e599e4](FHD)[-]"
tableLampSonjaBlackOffset,blocks,Light,,,"Table Lamp OffSet [e599e4](FHD)[-]"
tableLampSonjaPinkOffset,blocks,Light,,,"Table Lamp OffSet [e599e4](FHD)[-]"

lightLEDSonjaVariantHelper,blocks,Light,,,"LED Light Variants [e599e4](FHD)[-]"
lightPanelLEDSonjaWhite,blocks,Light,,,"LED Light [e599e4](FHD)[-]"
lightPanelLEDSonjaBlack,blocks,Light,,,"LED Light [e599e4](FHD)[-]"
lightPanelLEDoffSetSonjaWhite,blocks,Light,,,"OffSet LED Light [e599e4](FHD)[-]"
lightPanelLEDoffSetSonjaBlack,blocks,Light,,,"OffSet LED Light [e599e4](FHD)[-]"

hoodRangeLightSonjaVariableHelper,blocks,Light,,,"Powered Hood Range Variants [e599e4](FHD)[-]"
hoodRangeWhiteSonja,blocks,Light,,,"Powered Hood Range [e599e4](FHD)[-]"
hoodRangeYellowSonja,blocks,Light,,,"Powered Hood Range [e599e4](FHD)[-]"
hoodRangeGreenSonja,Light,,,"Powered Hood Range [e599e4](FHD)[-]"
hoodRangeGreySonja,blocks,Light,,,"Powered Hood Range [e599e4](FHD)[-]"
hoodRangeBlackSonja,blocks,Light,,,"Powered Hood Range [e599e4](FHD)[-]"
hoodRangeWhiteOffsetSonja,blocks,Light,,,"Powered Hood Range OffSet [e599e4](FHD)[-]"
hoodRangeYellowOffsetSonja,blocks,Light,,,"Powered Hood Range OffSet [e599e4](FHD)[-]"
hoodRangeGreenOffsetSonja,blocks,Light,,,"Powered Hood Range OffSet [e599e4](FHD)[-]"
hoodRangeGreyOffsetSonja,blocks,Light,,,"Powered Hood Range OffSet [e599e4](FHD)[-]"
hoodRangeBlackOffsetSonja,blocks,Light,,,"Powered Hood Range OffSet [e599e4](FHD)[-]"

recessedLightSonjaVariantHelper,blocks,Light,,,"Recessed Light Variants [e599e4](FHD)[-]"
recessedLightSonja,blocks,Light,,,"Recessed Light [e599e4](FHD)[-]"
recessedLight2x2Sonja,blocks,Light,,,"Recessed Light 2x2 [e599e4](FHD)[-]"
recessedLightOffsetSonja,blocks,Light,,,"Recessed Light OffSet [e599e4](FHD)[-]"
recessedLight2x2OffsetSonja,blocks,Light,,,"Recessed Light 2x2 OffSet [e599e4](FHD)[-]"

miscLampLightSonjaVariantHelper,blocks,Light,,,"Misc Light Variants [e599e4](FHD)[-]"
ceilingFanLightSonja,blocks,Light,,,"Ceiling Fan Light [e599e4](FHD)[-]"
ceilingLight02Sonja,blocks,Light,,,"Ceiling Light [e599e4](FHD)[-]"
ceilingLight02BrassSonja,blocks,Light,,,"Ceiling Brass Light [e599e4](FHD)[-]"
ceilingLight04Sonja,blocks,Light,,,"Ceiling Light [e599e4](FHD)[-]"
ceilingLight05Sonja,blocks,Light,,,"Ceiling Glass Light [e599e4](FHD)[-]"
ceilingLight05BrassSonja,blocks,Light,,,"Ceiling Brass Glass Light [e599e4](FHD)[-]"
sconce1LightShadowSonja,blocks,Light,,,"Sconce Light [e599e4](FHD)[-]"
trackLightSonja,blocks,Light,,,"Track Light [e599e4](FHD)[-]"
chandelierLightSonja,blocks,Light,,,"Powered Chandelier [e599e4](FHD)[-]"
workLightSonja,blocks,Light,,,"Working Light [e599e4](FHD)[-]"

deskLampLightSonjaVariantHelper,blocks,Light,,,"Desk Lamp Variants [e599e4](FHD)[-]"
deskLampLight02WhiteSonja,blocks,Light,,,"Desk Lamp [e599e4](FHD)[-]"
deskLampLight02BrownSonja,blocks,Light,,,"Desk Lamp [e599e4](FHD)[-]"
deskLampLight02RedSonja,blocks,Light,,,"Desk Lamp [e599e4](FHD)[-]"
deskLampLight02OrangeSonja,blocks,Light,,,"Desk Lamp [e599e4](FHD)[-]"
deskLampLight02YellowSonja,blocks,Light,,,"Desk Lamp [e599e4](FHD)[-]"
deskLampLight02GreenSonja,blocks,Light,,,"Desk Lamp [e599e4](FHD)[-]"
deskLampLight02BlueSonja,blocks,Light,,,"Desk Lamp [e599e4](FHD)[-]"
deskLampLight02BPurpleSonja,blocks,Light,,,"Desk Lamp [e599e4](FHD)[-]"
deskLampLight02BGreySonja,blocks,Light,,,"Desk Lamp [e599e4](FHD)[-]"
deskLampLight02BlackSonja,blocks,Light,,,"Desk Lamp [e599e4](FHD)[-]"
deskLampLight02PinkSonja,blocks,Light,,,"Desk Lamp [e599e4](FHD)[-]"
deskLampLight01Sonja,blocks,Light,,,"Brass Desk Lamp [e599e4](FHD)[-]"

fluorescentLampLightSonjaVariantHelper,blocks,Light,,,"Fluorescent Lamp Variants [e599e4](FHD)[-]"
fluorescentLight01Sonja,blocks,Light,,,"Fluorescent Lamp [e599e4](FHD)[-]"
fluorescentLight02Sonja,blocks,Light,,,"Fluorescent Lamp [e599e4](FHD)[-]"
fluorescentLight03Sonja,blocks,Light,,,"Fluorescent Lamp [e599e4](FHD)[-]"

porchLampLight01SonjaVariantHelper,blocks,Light,,,"Porch Light Variants [e599e4](FHD)[-]"
porchLight01Sonja,blocks,Light,,,"Porch Light [e599e4](FHD)[-]"
porchLight01BrownSonja,blocks,Light,,,"Porch Light [e599e4](FHD)[-]"
porchLight01BrassSonja,blocks,Light,,,"Porch Light [e599e4](FHD)[-]"
porchLight01GreenSonja,blocks,Light,,,"Porch Light [e599e4](FHD)[-]"
porchLight01GreySonja,blocks,Light,,,"Porch Light [e599e4](FHD)[-]"
porchLight01BlackSonja,blocks,Light,,,"Porch Light [e599e4](FHD)[-]"
porchLight01RedSonja,blocks,Light,,,"Porch Light [e599e4](FHD)[-]"
porchLight01OrangeSonja,blocks,Light,,,"Porch Light [e599e4](FHD)[-]"
porchLight01BlueSonja,blocks,Light,,,"Porch Light [e599e4](FHD)[-]"

lampLightGooseSonjaVariantHelper,blocks,Light,,,"Goose Lamp Variants [e599e4](FHD)[-]"
lampLightGooseSonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"
lampLightGooseBrownSonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"
lampLightGooseRedSonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"
lampLightGooseOrangeSonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"
lampLightGooseYellowSonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"
lampLightGooseGreenSonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"
lampLightGooseBlueSonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"
lampLightGoosePurpleSonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"
lampLightGooseGreySonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"
lampLightGooseBlackSonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"
lampLightGoosePinkSonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"
lampLightGooseArmyGreenSonja,blocks,Light,,,"Goose Lamp [e599e4](FHD)[-]"

neonSignSonjaVariantHelper,blocks,Light,,,"Neon Sign Variants [e599e4](FHD)[-]"

hydroponicsSonjaVariantHelper,blocks,Light,,,"Hydroponics Variants [e599e4](FHD)[-]"
